repositoryName,mcrTags
Diabol/delivery-pipeline-plugin,"[authentication,jenkins,matrix,plugin]"
SmartBear/soapui,"[apache,security]"
SonarSource/sonar-java,"[apache,security]"
camunda-consulting/code,"[bridge,json,logging,slf4j]"
YunaiV/ruoyi-vue-pro,"[github,spring,starter]"
Azure/azure-sdk-for-java,"[azure,client,cryptography,rest,runtime,storage]"
spring-cloud/spring-cloud-dataflow,"[cloud,dsl,spring]"
BetonQuest/BetonQuest,[platform]
thinkaurelius/titan,"[bytecode,debug]"
iterate-ch/cyberduck,"[cryptography,sdk]"
RyanSusana/elepy,"[junit,testing]"
strimzi/strimzi-kafka-operator,"[annotations,builder,io]"
blobcity/db,"[parser,sql]"
j-easy/easy-random,[github]
ityouknow/spring-boot-examples,"[cache,client]"
hxrui/youlai-mall,"[github,spring,starter]"
mpusher/mpush,"[github,netty,network,socket]"
openhab/openhab-addons,"[binding,bundle]"
codice/ddf,"[api,geo]"
eclipse-ee4j/glassfish,"[api,ejb]"
apache/hudi,"[apache,client,database,hadoop,hbase]"
Hurence/logisland,"[loader,spring]"
cloudera-labs/envelope,"[apache,database,hadoop,hbase]"
metawidget/metawidget,"[beans,module]"
ChestShop-authors/ChestShop-3,[platform]
eclipse/hawkbit,"[amqp,client,http,queue,rabbitmq]"
alibaba/arthas,[client]
spring-projects-experimental/spring-boot-thin-launcher,"[build,build-system,gradle,groovy,loader,plugin,spring]"
pippo-java/pippo,"[cache,client,controller]"
apache/stratos,"[apache,security]"
jeremylong/DependencyCheck,"[client,json,service]"
OneBusAway/onebusaway-application-modules,"[google,memcached,spring]"
spring-projects/spring-vault,"[eclipse,http,jetty,reactive,server,webserver]"
jobrunr/jobrunr,"[junit,testing]"
Nextdoor/bender,"[amazon,aws,sdk]"
apache/incubator-shenyu,"[apache,interface,plugin,spring,starter]"
thingsboard/thingsboard,"[eclipse,server]"
latexdraw/latexdraw,"[junit,testing]"
adamkewley/jobson,[github]
sofastack/sofa-boot,"[grpc,io,protocol,rpc,serialization]"
Talend/tesb-rt-se,"[apache,camel,esb,storage]"
bytedeco/javacv,[platform]
ragnor/simple-spring-memcached,"[cache,client]"
kekingcn/kkFileView,[apache]
DSpace/DSpace,"[analyzer,apache,index,lucene]"
apache/ignite,"[google,memcached,spring]"
weibocom/motan,"[jboss,netty,network,socket]"
gephi/gephi,"[api,module,netbeans]"
apache/apex-malhar,"[apache,cache,client]"
lintool/warcbase,"[apache,database,graph,nosql,spark]"
funktionio/funktion-connectors,"[apache,camel]"
ExpediaGroup/waggle-dance,[rest]
Impetus/Kundera,"[apache,database,hadoop,hbase]"
majusko/pulsar-java-spring-boot-starter,"[junit,testing]"
OpenRock/OpenAM,"[apache,security]"
rhq-project/rhq,"[bridge,logging,slf4j]"
SpringCloud/spring-cloud-gray,"[cloud,cluster,http,plugin,server,spring]"
ontop/ontop,[command-line]
syndesisio/syndesis,"[apache,io,junit,model,security,testing]"
GuoGuang/madao_service,[github]
Activiti/Activiti,"[api,bpm,model]"
gudaoxuri/dew,"[client,eclipse,junit,plugin,testing]"
oracle/coherence,"[cache,client]"
648540858/wvp-GB28181-pro,"[github,spring,starter]"
apache/syncope,"[bootstrap,jquery,server,ui,wicket]"
wicketstuff/core,"[cache,client]"
humank/ddd-practitioners-ref,[io]
cucumber/cucumber-jvm,[io]
apache/activemq-artemis,[github]
airlift/drift,"[apache,io,transport]"
heibaiying/BigData-Notes,"[apache,database,hadoop,hbase]"
lizibin/black-shop,[naming]
jimbethancourt/RefactorFirst,"[build,build-system,maven,plugin]"
zinggAI/zingg,"[apache,database,graph,nosql,spark]"
jhipster/jhipster,"[data,database,graph,loader,neo4j,spring,starter]"
ebean-orm/ebean,"[database,io,redis]"
testingisdocumenting/webtau,"[groovy,junit,testing]"
prestodb/presto,"[facebook,json,server]"
apache/xmlgraphics-fop,[apache]
payara/Payara,"[junit,testing]"
OpenIotOrg/openiot,[query]
spring-cloud-samples/spring-cloud-contract-samples,"[junit,testing]"
aoju/bus,"[loader,spring]"
rythmengine/rythmengine,"[cache,client]"
smart-doc-group/smart-doc,[github]
neo4j/neo4j,"[database,generator,graph,logging,neo4j,parser,random,security]"
apache/servicecomb-java-chassis,"[apache,api,generator,swagger]"
apache/pulsar,"[apache,cassandra,database,grpc,io,protocol,rpc,serialization]"
Teradata/kylo,"[authentication,security]"
cdapio/tephra,"[apache,database,hadoop,hbase]"
Apicurio/apicurio-registry,"[admin,apache,client,security]"
estatio/estatio,[github]
GoogleCloudPlatform/cloud-bigtable-examples,"[cloud,google,monitoring]"
Hakky54/mutual-tls-ssl,"[eclipse,http,jetty,reactive,server,webserver]"
IoT-Technology/IoT-Technical-Guide,"[eclipse,server]"
esig/dss,"[apache,security]"
apache/knox,"[apache,dependency-injection,discovery,gateway,security]"
