groupId,artifactId
net.citizensnpcs,citizens-v1_12_R1
org.cryptomator,integrations-api
com.notnoop.apns,apns
org.springblade,blade-core-cloud
com.googlecode.gwtquery,gwtquery
org.apache.phoenix,phoenix-tracing-webapp
com.amazonaws,aws-java-sdk-cognitoidentity
io.sundr,builder-annotations
org.sakaiproject.rsf,sakai-rsf-web-evolvers
com.itextpdf,itextpdf
io.smallrye.config,smallrye-config-validator
com.github.jennybrown8.wicket-source,wicket-source
org.geowebcache,gwc-swift
com.slack.api,slack-api-model
org.glassfish.jersey.media,jersey-media-sse
org.geotools,gt-arcgrid
org.kie.kogito,kogito-addons-rest-exception-handler
org.apache.dubbo,dubbo-configcenter-nacos
org.nuxeo.ecm.platform,nuxeo-thumbnail
org.opennms.newts,newts-cassandra-test
org.apache.servicemix.specs,org.apache.servicemix.specs.jaxrs-api-2.1
org.hibernate,hibernate-java8
org.gridkit.jvmtool,ygc-bench
org.xwiki.platform,xwiki-platform-crypto-store-wiki
org.restcomm.protocols.ss7.map,map-api
org.sakaiproject.search.elasticsearch,elasticsearch-util
com.vaadin,vaadin-upload-testbench
org.apache.metamodel,MetaModel-openoffice
org.mortbay.jetty,jetty-ajp
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.ixa-model-tagger-eu-perceptron-ud
io.quarkus,quarkus-grpc-stubs
com.codahale.metrics,metrics-ganglia
com.qunar.qmq,qmq-server
org.kie.kogito,kogito-addons-quarkus-cloudevents-multi
org.spout,cereal
org.wicketstuff,wicketstuff-jwicket-ui-tooltip
dev.webfx,webfx-platform-shared-scheduler
net.ymate.platform,ymate-platform-validation
com.ctrip.framework.clogging,clogging-agent
org.hibernate.search,hibernate-search-integrationtest-mapper-orm-realbackend
org.glassfish.jersey.media,jersey-media-json-jackson
com.hccake,ballcat-system-model
com.squareup.keywhiz,keywhiz-model
com.github.sviperll,adt4j
org.apache.geronimo.specs,geronimo-jta_1.2_spec
org.pentaho.di.plugins,get-previous-row-field-core
io.quarkus,quarkus-kubernetes-deployment
org.apache.camel,camel-ref
org.sonarsource.sslr-squid-bridge,sslr-squid-bridge
com.dtstack.flinkx,flinkx-metrics-rdb
org.apache.nifi,nifi-toolkit-tls
ddf.security.pdp,security-pdp-authzrealm
org.infinispan,infinispan-spring-boot-starter-embedded
org.eclipse.kapua,kapua-consumer-lifecycle
com.consol.citrus,citrus-validation-binary
com.vladsch.flexmark,flexmark-util-dependency
com.amazonaws,aws-java-sdk-ivs
org.springframework.cloud,spring-cloud-starter-alibaba-nacos-config
org.acme,quarkus-app-common
org.onebusaway,onebusaway-util
io.hetu.core,presto-array
org.dkpro.core,dkpro-core-cisstem-asl
org.springframework.cloud,spring-cloud-deployer-spi
org.glassfish.virtualization,virt-api
org.graphfoundation.ongdb,ongdb-geequel-expression-3.4
com.twelvemonkeys.servlet,servlet
io.quarkus,quarkus-resteasy-server-common
org.apache.isis.mavendeps,isis-mavendeps-integtests
org.apache.servicecomb.toolkit,oas-generator-servicecomb
io.restx,restx-build
com.owasp.zap,xom
org.wso2.carbon.analytics-common,org.wso2.carbon.event.output.adapter.core
io.cdap.cdap,cdap-etl-batch
io.cloudevents,cloudevents-http-basic
com.iceye.esa.snap,iceye-slc-reader
io.awspring.cloud,spring-cloud-aws-messaging
org.nuxeo.web.ui,nuxeo-web-ui-itests
com.squareup.okhttp3,okhttp
org.talend.esb.examples.locator.service,locator-soap-example-war
com.github.Archy-X,AureliumSkills
org.jboss.forge.addon,dependencies
org.apache.skywalking,configuration-k8s-configmap
org.apache.karaf.specs,org.apache.karaf.specs.activator
net.sf.biweekly,biweekly
org.webjars,jqplot
com.amazonaws,aws-java-sdk-iotevents
org.apache.camel.quarkus,camel-quarkus-stitch
com.github.inamik.text.tables,inamik-text-tables
org.apache.shardingsphere,shardingsphere-shadow-spring-namespace
org.apache.archiva.redback,redback-authorization-api
org.jigsaw.payment,jigsaw-runtime-metrics
org.dkpro.core,dkpro-core-mecab-asl
org.webjars.bower,jquery-i18n-properties
org.openhab.binding,org.openhab.binding.tacmi
com.intuit.karate,karate-demo
ru.ydn.wicket.wicket-console,wicket-console
org.apache.camel.quarkus,camel-quarkus-tarfile-deployment
org.owasp.test.aggregate.issue-2494,sibling2
org.apache.camel.quarkus,camel-quarkus-protobuf
fr.pilato.elasticsearch.crawler,fscrawler-crawler-fs
org.python,jython-slim
org.spf4j,spf4j-core
ws.schild,jave-nativebin-osx64
io.quarkus,quarkus-hibernate-reactive-panache-deployment
it.unife.endif.ml,edge
org.nuxeo.ecm.platform,nuxeo-platform-content-template-manager
org.flowable,flowable-task-service-api
org.ops4j.pax.swissbox,pax-swissbox-bnd
com.twelvemonkeys.imageio,imageio-pict
com.amazonaws,aws-java-sdk-iot
org.zeromq,curve25519-java
com.graphql-java-kickstart,graphiql-spring-boot-starter
org.mengyun,tcc-transaction-core
org.apache.directory.server,apacheds-jdbm
org.apache.skywalking,e2e-protocol
org.rhq,rhq-remoting-client-api
org.gridgain,gridgain-rest-http
org.beanshell,bsh
org.openrdf.sesame,sesame-sail-nativerdf
com.momo,momo-permission-gateway
io.helidon.security.integration,helidon-security-integration-grpc
com.oracle.oci.sdk,oci-java-sdk-apmtraces
com.qubole.rubix,rubix-prestosql
io.quarkus,quarkus-mongodb-rest-data-panache-deployment
com.github.qiujiayu,autoload-cache-manager-redis
io.helidon.integrations.graal,helidon-mp-graal-native-image-extension
org.glassfish.docs,application-development-guide
org.wildfly,wildfly-clustering-jgroups-spi
org.apache.dolphinscheduler,dolphinscheduler-ui
org.geotools,gt-cql-json
org.netpreserve.openwayback,openwayback-access-control-core
org.eclipse.jetty,infinispan-remote-query
io.smallrye.common,smallrye-common-constraint
io.cattle,cattle-iaas-healthcheck
io.seata,sca-common
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.ixa-model-tagger-nl-maxent-100-c5-autodict01-alpino
org.apache.usergrid.chop,chop-amazon
sia,tacocloud-api
org.apache.camel.quarkus,camel-quarkus-djl-deployment
com.thinkbiganalytics.kylo,kylo-feed-manager-service-api
org.apache.sshd,sshd-contrib
com.codahale.metrics,metrics-json
org.eclipse.jetty.http2,http2-hpack
com.navercorp.pinpoint,pinpoint-oracle-jdbc-driver-plugin
com.microsoft.azure,azure-toolkit-common-lib
org.eclipse.jkube,jkube-kit-common
org.apache.kylin,kylin-spark-engine
org.wso2.carbon.mediation,org.wso2.carbon.task.services
org.talend.esb.examples.ebook,ebook-importer
org.apache.karaf,org.apache.karaf.main
org.netbeans.modules,org-openide-util-ui-svg
org.camunda.bpm.qa.upgrade,camunda-qa-upgrade-scenario-util
org.codice.ddf,geospatial
info.cukes,gherkin
com.codenvy.plugin,codenvy-plugin-bitbucket-configuration
org.glassfish.metro,webservices-extra-jdk-packages
org.openhab.core.bundles,org.openhab.core.io.transport.mqtt
org.apache.hop,hop-action-setvariables
org.mule.runtime,mule-module-logging
org.restcomm.protocols.ss7.mtp,mtp-api
org.glassfish,javax.el
com.github.dianbaer,threadwebsocket
org.apache.james,event-bus-in-vm
wsattacker.library,Intelligent_Denial_of_Service_Library
org.gephi,desktop-timeline
org.apache.camel,camel-script
org.apache.hbase.operator.tools,hbase-tools
org.webjars,bpmn-js
org.jitsi,jitsi-protocol-media
com.vaadin,flow-reusable-embedded-theme
com.badlogicgames.gdx,gdx-platform
com.codenameone,jcef
com.cxytiandi,kitty-spring-cloud-starter-rocketmq-aliyun
eu.amidst,sparklink
com.pneumaticraft.commandhandler,CommandHandler
edu.northwestern.at,morphadorner
com.arakelian,java-jq
org.nd4j,samediff-import-api
consulo,consulo-desktop-platform-impl
com.sun.xml.ws,http
org.ops4j.pax.web.samples,whiteboard-ds
org.mnode.ical4j,ical4j-zoneinfo-outlook
org.springframework.cloud,spring-cloud-gcp-starter-bus-pubsub
com.sparsity,sparkseejava
org.apache.maven.mercury,mercury-repo-virtual
org.apache.shenyu,shenyu-spring-boot-starter-plugin-websocket
org.teavm,teavm-jps-plugin
sun.plugin,plugin
com.squareup.okhttp3,logging-interceptor
org.apache.aries.spifly,org.apache.aries.spifly.static.bundle
com.github.ben-manes.caffeine,jcache
com.alibaba.otter,connector.rocketmq
co.paralleluniverse,quasar-core
com.github.tommyettinger,anim8-gdx
org.apache.cayenne,cayenne-server
com.walmartlabs.concord.plugins.basic,slack-tasks
org.eclipse.rdf4j,rdf4j-rio-trix
io.rsocket.broker,rsocket-broker-spring
org.apache.camel.quarkus,camel-quarkus-jackson-protobuf-deployment
io.hops,hadoop-cloud-storage
com.taobao.pamirs.schedule,tbschedule
org.apache.camel.quarkus,camel-quarkus-olingo4
org.apache.shardingsphere,shardingsphere-readwrite-splitting-distsql-handler
javax,javaee-api
org.opencastproject,opencast-asset-manager-impl
com.hazelcast,hazelcast-3-connector-common
org.wikidata.wdtk,wdtk-rdf
com.graphicsfuzz,test-util
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.corenlp-model-depparser-en-wsj-sd
org.archive.heritrix,heritrix-modules
org.xwiki.platform,xwiki-platform-extension-handler-xar
org.apache.commons,commons-io
com.qubole.rubix,rubix-core
com.google.code.gwt-dnd,gwt-dnd
com.github.ipfs,java-ipfs-http-client
com.webank.wedatasphere.linkis,linkis-hadoop-common
com.thinkbiganalytics.kylo,kylo-ui-app
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.stanfordnlp-model-parser-en-pcfg
org.kie.kogito,kogito-api-incubation-predictions
de.gsi.dataset,chartfx-dataset
com.blazegraph,dsi-utils
org.eclipse.ditto,ditto-things-api
de.agilecoders.wicket,wicket-bootstrap-themes
de.ruedigermoeller,kontraktor-web
org.apache.nifi,nifi-redis-extensions
org.apache.maven,maven-monitor
com.noseparte,famous-common
org.odpi.egeria,governance-engine-api
org.apache.hbase,hbase-metrics-api
com.sshtools,j2ssh-core
io.pebbletemplates,pebble-spring4
net.ripe.commons,commons-ip-math
org.bytedeco,openblas-platform
io.lumify,lumify-gpw-audio-mp4-encoder
io.pebbletemplates,pebble-spring5
org.apache.james,james-server-dnsservice-api
org.sonatype.plexus,plexus-cipher
com.networknt,eventuate-client-jdbc-common
org.sonatype.nexus,nexus-guice-servlet
org.eclipse.hono,hono-service-base
org.t-io,tio-utils
org.knowm.xchange,xchange-coinone
org.apache.shenyu,shenyu-spring-boot-starter-plugin-uri
org.apache.plc4x,plc4j-transport-raw-socket
