packageName,className,apis
zemberek.morphology.ambiguity,DataConverter,[com.google.guava:guava]
zemberek.tokenization,SpanTest,[junit:junit]
zemberek.scratchpad,TdkLoader,[org.jsoup:jsoup]
zemberek.langid.train,Trainer,[com.google.guava:guava]
zemberek.morphology.analysis,AnalysisFormatterTest,[junit:junit]
zemberek.morphology.ambiguity,RuleBasedDisambiguatorTest,[junit:junit]
zemberek.morphology.analysis,AdjectiveDerivationTest,[junit:junit]
zemberek.core.collections,Trie,[com.google.guava:guava]
zemberek.core.logging,Log,[com.google.guava:guava]
zemberek.core.io,StringFilters,[com.google.guava:guava]
zemberek.corpus,LuceneLemmaFilterTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
zemberek.core.hash,LargeNgramMphf,[com.google.guava:guava]
zemberek.morphology.ambiguity,PerceptronAmbiguityResolverTrainer,[com.google.guava:guava]
zemberek.tokenization.antlr,TurkishLexer,"[com.google.guava:guava,org.antlr:antlr4-runtime]"
zemberek.core.collections,FixedBitVectorTest,"[com.google.guava:guava,junit:junit]"
zemberek.core.io,SimpleTextReader,[com.google.guava:guava]
zemberek.normalization,RandomWalkFunctionalTest,[junit:junit]
zemberek.normalization,TurkishSpellChecker,[com.google.guava:guava]
zemberek.morphology.analysis,AdverbsTest,[junit:junit]
zemberek.core.io,Files,[com.google.guava:guava]
zemberek.morphology.analysis,AnalysisDebugData,[com.google.guava:guava]
zemberek.core.turkish,TurkishAlphabet,[com.google.guava:guava]
zemberek.apps.lm,CompressLmTest,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,ConjunctionTest,[junit:junit]
zemberek.normalization,TurkishSentenceNormalizer,[com.google.guava:guava]
zemberek.examples.classification,ClassificationExampleBase,[com.google.guava:guava]
zemberek.corpus,WebDocument,[com.google.guava:guava]
zemberek.core.io,IOs,[com.google.guava:guava]
zemberek.morphology.analysis,AnalysisCache,"[com.github.ben-manes.caffeine:caffeine,com.google.guava:guava]"
zemberek.apps.fasttext,GenerateWordVectors,[com.beust:jcommander]
zemberek.morphology.analysis,WordAnalysisSurfaceFormatterTest,[junit:junit]
zemberek.morphology.analysis,NounDerivationTest,[junit:junit]
zemberek.langid.train,SubtitleExtractor,[com.google.guava:guava]
zemberek.core.text,TokenSequence,[com.google.guava:guava]
zemberek.langid.model,BaseCharNgramModel,[com.google.guava:guava]
zemberek.core.collections,HashBase,[com.google.guava:guava]
zemberek.examples.tokenization,TurkishTokenizationExample,[com.google.guava:guava]
zemberek.morphology.generator,WordGenerator,[com.google.guava:guava]
zemberek.morphology.lexicon,DictionarySerializer,[com.google.guava:guava]
