packageName,className,apis
net.semanticmetadata.lire.classifiers,HashingSearchBasedClassifierMod,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.impl,MSERDocumentBuilder,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.utils,QuantizationUtilsTest,[junit:junit]
net.semanticmetadata.lire.impl,SimpleBuilderTest,[junit:junit]
net.semanticmetadata.lire.imageanalysis.features,TestGenericFeatures,[junit:junit]
liredemo.indexing,ParallelIndexer,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.features.local.surf,SurfFeature,[com.sangupta:jopensurf]
net.semanticmetadata.lire.searchers,BitSamplingImageSearcher,[org.apache.lucene:lucene-core]
liredemo,LireDemoFrame,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,CombinationTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis,BinaryPatternsPyramidTest,[junit:junit]
net.semanticmetadata.lire.imageanalysis,PHOGTest,[junit:junit]
net.semanticmetadata.lire.invertedlist,GeneralInvertedListTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire,VisualWordsTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.bovw,VisualWordsTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexers.hashing,MetricSpacesTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexing,ExtractorTest,[junit:junit]
net.semanticmetadata.lire,CvLocalTest,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexers.tools.binary,Indexor,[org.apache.lucene:lucene-core]
edu.uniklu.itec.mosaix.engine,Engine,[org.apache.lucene:lucene-core]
